Date,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20
2000-01-03,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2000-01-04,98.95476013484642,101.2918910666281,99.02927945624367,98.91688345891507,100.7939298848543,98.42771237759064,97.81994425731581,100.21515153841992,100.20634657546377,99.10285411097455,98.45085885502138,100.37490619444324,99.04752403569508,98.5875899425164,99.94685917152133,98.92546335574795,99.82584205311483,98.88532938657336,99.10814335976475,98.45489572641965
2000-01-05,100.17769124618765,103.45153313322808,103.18490471761687,100.83069015001757,102.04360482586875,100.9616195187699,99.89559425372047,102.59635725346799,101.59646915457014,101.27413848745661,100.49224896979364,101.82251554492181,101.99219637677794,99.0479354220072,101.66359063373052,100.91203716428059,99.21427071581769,100.63063509407722,101.0923494564756,100.12711620218965
2000-01-06,98.14547118450156,103.72879907722398,102.89823400357886,100.2023759467073,100.8303436904168,101.88580005425227,98.59077143923433,101.04236441989687,100.29732711624852,100.11388719670329,98.66618299384845,101.72868448915588,100.86556428707458,99.7936261887672,103.28884289733713,101.25865616674005,99.06524285735264,100.63649602229809,100.72464782656871,100.08143303552714
2000-01-07,98.29560497349709,105.50497540792352,103.25826332906736,100.3440809163487,100.34892940755749,100.79490237901723,98.14604182532767,99.88040329605806,100.5786839180777,99.42995077736293,98.60423371055988,104.15440247706866,103.97129086530437,100.42678241517669,103.11972269468232,100.91554862968293,100.20073540446015,101.98427582847161,103.0129202417087,100.88447056903513
2000-01-10,99.78955784519978,105.70566847358303,104.23592464711595,99.76310134067826,100.22378689478164,101.74885809170746,100.6865086357305,103.60520386737582,103.98852872512072,99.39155951504026,98.61013853403271,105.21278585670188,106.54682225453264,99.46220224116027,105.68931887203867,100.33304395378005,99.87126624305012,103.0021683978051,105.52891736439318,103.41698054704092
2000-01-11,98.77130611617775,107.23247273767853,104.02008858813616,98.61362257481218,101.48007466520774,103.95792046512528,98.472454618567,101.16955654810866,103.2068357743164,98.31280730286407,99.2599949634667,107.54474799271618,105.78462888309936,98.21483963042377,104.73642056122084,100.47137468497796,97.622078432768,103.38061021588022,104.57049595976903,102.8353884698455
2000-01-12,102.2844940586879,108.9836995220172,105.43923383975226,100.13044307875899,102.07233207473807,105.53802294077231,99.8511131477283,104.06069734219274,104.06856886641451,97.39877004210595,101.26766749989122,104.9092337089927,106.9526728880207,100.60692053777092,106.47161386542028,100.20961792128156,98.64787720941526,103.70009368723501,105.31833189424992,103.2019076333635
2000-01-13,98.44795872487228,108.3054121405438,103.53960141275161,97.20528210704724,100.98319704293542,103.1794108271474,100.37276301304532,102.8631587317133,102.96880770551049,97.48576781575261,100.23030832250855,103.53495468553461,102.93294575042498,96.96951164713658,107.73224445816408,98.8165049490229,98.38079206546378,102.95749689488017,104.26626948438822,103.07237477504405
2000-01-14,96.87187609417687,108.21071687354483,101.97785252575365,95.2116771116953,102.17694171143701,100.88802892134252,101.0838114079917,100.31718766418176,102.60788016563593,96.44769882233241,100.63183852248687,104.71435216555372,102.66162750655484,98.07165012931772,107.31613719399643,98.26838690325668,97.3827685595114,103.3896573677361,106.79249625459519,104.57270322425698
